,PUBMEDID,TITLE,AUTHORS,PUBICATION,PUBDATE,PUBYEAR
677,9006650,The lateral corticospinal tract and spinal ventral horn in X-linked recessive spinal and bulbar muscular atrophy: a quantitative study.,"Terao S, Sobue G, Li M, Hashizume Y, Tanaka F, Mitsuma T.",Acta Neuropathol. 1997 Jan;93(1):1-6.,1/1/1997,1997
680,9010714,Molecular analysis of the androgen receptor gene in Kennedy's disease. Report of two families and review of the literature.,"Lumbroso S, Lobaccaro JM, Vial C, Sassolas G, Ollagnon B, Belon C, Pouget J, Sultan C.",Horm Res. 1997;47(1):23-9. Review.,1/1/1997,1997
683,9058092,Molecular genetics of triplet repeats: unstable expansion of triplet repeats as a new mechanism for neurodegenerative diseases.,Tsuji S.,Intern Med. 1997 Jan;36(1):3-8. Review.,1/1/1997,1997
686,9157759,[The DNA diagnosis of a familial case of Kennedy's spinal and bulbar amyotrophy].,"Petrukhin AS, Zavadenko NN, Petrukhin AA, Evgrafov OV.",Zh Nevrol Psikhiatr Im S S Korsakova. 1997;97(3):45-8. Russian.,1/1/1997,1997
689,9173928,Characterization of an expanded glutamine repeat androgen receptor in a neuronal cell culture system.,"Brooks BP, Paulson HL, Merry DE, Salazar-Grueso EF, Brinkmann AO, Wilson EM, Fischbeck KH.",Neurobiol Dis. 1997;3(4):313-23.,1/1/1997,1997
692,9434091,Atypical clinical presentations of X-linked spinal and bulbar muscular atrophy in patients with mild CAG expansions in androgen receptor gene.,"Igarashi S, Yonemochi Y, Tanaka K, Inuzuka T, Oyanagi K, Ikuta F, Aoki K, Horikawa Y, Morita T, Tsuji S.",Eur Neurol. 1997;38(4):310-2. No abstract available.,1/1/1997,1997
695,9591063,[DNA-diagnosis of bulbospinal muscular atrophy (Kennedy's disease)].,"Malygina NA, Kazakov AE, Dubchak LV.",Zh Nevrol Psikhiatr Im S S Korsakova. 1997;97(12):35-8. Russian.,1/1/1997,1997
698,8995585,Abnormalities of cortical inhibitory neurons in amyotrophic lateral sclerosis.,"Enterzari-Taher M, Eisen A, Stewart H, Nakajima M.",Muscle Nerve. 1997 Jan;20(1):65-71.,1/1/1997,1997
701,9111734,Effects of androgen receptor polyglutamine tract expansion on proliferation of NG108-15 cells.,"Nakajima H, Kimura F, Nakagawa T, Ikemoto T, Furutama D, Shinoda K, Kato S, Shimizu A, Ohsawa N.",Neurosci Lett. 1997 Jan 31;222(2):83-6.,1/31/1997,1997
704,9020849,Instability of highly expanded CAG repeats in mice transgenic for the Huntington's disease mutation.,"Mangiarini L, Sathasivam K, Mahal A, Mott R, Seller M, Bates GP.",Nat Genet. 1997 Feb;15(2):197-200.,2/1/1997,1997
707,9040758,Isolated bilateral masseter atrophy in X-linked recessive bulbospinal neuronopathy.,"Suzuki T, Endo K, Igarashi S, Fukuda M, Tanaka M.",Neurology. 1997 Feb;48(2):539-40. No abstract available.,2/1/1997,1997
710,9052811,The characteristic electrodiagnostic features of Kennedy's disease.,"Ferrante MA, Wilbourn AJ.",Muscle Nerve. 1997 Mar;20(3):323-9.,3/1/1997,1997
713,9077516,X-linked spinal and bulbar muscular atrophy with myasthenic symptoms.,"Yamada M, Inaba A, Shiojiri T.",J Neurol Sci. 1997 Mar 10;146(2):183-5.,3/10/1997,1997
716,9177411,Assessment of androgen receptor function in genital skin fibroblasts using a recombinant adenovirus to deliver an androgen-responsive reporter gene.,"McPhaul MJ, Schweikert HU, Allman DR.",J Clin Endocrinol Metab. 1997 Jun;82(6):1944-8. Erratum in: J Clin Endocrinol Metab 1997 Aug;82(8):2670.,6/1/1997,1997
719,9211187,Kennedy disease.,Fischbeck KH.,J Inherit Metab Dis. 1997 Jun;20(2):152-8. Review.,6/1/1997,1997
722,9189038,A new type of hereditary motor and sensory neuropathy linked to chromosome 3.,"Takashima H, Nakagawa M, Nakahara K, Suehara M, Matsuzaki T, Higuchi I, Higa H, Arimura K, Iwamasa T, Izumo S, Osame M.",Ann Neurol. 1997 Jun;41(6):771-80.,6/1/1997,1997
725,9217975,The neuropathology of CAG repeat diseases: review and update of genetic and molecular features.,"Robitaille Y, Lopes-Cendes I, Becher M, Rouleau G, Clark AW.",Brain Pathol. 1997 Jul;7(3):901-26. Review.,7/1/1997,1997
728,9217976,The CAG/polyglutamine tract diseases: gene products and molecular pathogenesis.,"Koshy BT, Zoghbi HY.",Brain Pathol. 1997 Jul;7(3):927-42. Review.,7/1/1997,1997
731,9217978,Mouse models of human CAG repeat disorders.,"Burright EN, Orr HT, Clark HB.",Brain Pathol. 1997 Jul;7(3):965-77. Review.,7/1/1997,1997
734,9385023,Triplet repeat gene sequences in neuropsychiatric diseases.,"Li R, el-Mallakh RS.",Harv Rev Psychiatry. 1997 Jul-Aug;5(2):66-74. Review.,7/1/1997,1997
737,9270598,Spinobulbar muscular atrophy can mimic ALS: the importance of genetic testing in male patients with atypical ALS.,"Parboosingh JS, Figlewicz DA, Krizus A, Meininger V, Azad NA, Newman DS, Rouleau GA.",Neurology. 1997 Aug;49(2):568-72.,8/1/1997,1997
740,9268245,The reduction of androgen receptor mRNA in motoneurons of X-linked spinal and bulbar muscular atrophy.,"Nakamura M, Mita S, Matuura T, Nagashima K, Tanaka H, Ando M, Uchino M.",J Neurol Sci. 1997 Sep 10;150(2):161-5.,9/10/1997,1997
743,9302257,CAG repeat expansion in autosomal dominant pure spastic paraplegia linked to chromosome 2p21-p24.,"Nielsen JE, Koefoed P, Abell K, Hasholt L, Eiberg H, Fenger K, Niebuhr E, Sørensen SA.",Hum Mol Genet. 1997 Oct;6(11):1811-6.,9/25/1997,1997
746,9360540,"Long polyglutamine tracts in the androgen receptor are associated with reduced trans-activation, impaired sperm production, and male infertility.","Tut TG, Ghadessy FJ, Trifiro MA, Pinsky L, Yong EL.",J Clin Endocrinol Metab. 1997 Nov;82(11):3777-82.,11/14/1997,1997
749,9437788,The rat androgen-binding protein (ABP/SHBG) gene contains triplet repeats similar to unstable triplets: evidence that the ABP/SHBG and the fragile X-related 2 genes overlap.,Joseph DR.,Steroids. 1998 Jan;63(1):2-4.,1/23/1998,1998
752,9438070,Improved polymerase chain reaction conditions for quick diagnostics of Huntington disease.,"Culjković B, Ruzdijić S, Rakić L, Romac S.",Brain Res Brain Res Protoc. 1997 Dec 1;2(1):44-6.,1/23/1998,1998
755,9432642,[Androgen receptor gene (CAG)n of spinal and bulbar muscular atrophy found in the normal child population in Hungary].,"Molnár J, Kis A, Melegh B.",Orv Hetil. 1997 Nov 16;138(46):2937-8. Hungarian.,2/12/1998,1998
758,9384612,Truncated forms of the androgen receptor are associated with polyglutamine expansion in X-linked spinal and bulbar muscular atrophy.,"Butler R, Leigh PN, McPhaul MJ, Gallo JM.",Hum Mol Genet. 1998 Jan;7(1):121-7.,2/28/1998,1998
761,9482263,"Somatic mosaicism of the expanded CAG trinucleotide repeat in mRNAs for the responsible gene of Machado-Joseph disease (MJD), dentatorubral-pallidoluysian atrophy (DRPLA), and spinal and bulbar muscular atrophy (SBMA).","Ito Y, Tanaka F, Yamamoto M, Doyu M, Nagamatsu M, Riku S, Mitsuma T, Sobue G.",Neurochem Res. 1998 Jan;23(1):25-32.,3/3/1998,1998
764,9521237,Progressive proximal spinal and bulbar muscular atrophy of late onset: a sex-linked recessive trait.,"Kennedy WR, Alter M, Sung JH.",Neurology. 1998 Mar;50(3):583 and 10 pages following. No abstract available.,4/1/1998,1998
767,9466993,Spinobulbar muscular atrophy: polyglutamine-expanded androgen receptor is proteolytically resistant in vitro and processed abnormally in transfected cells.,"Abdullah A, Trifiro MA, Panet-Raymond V, Alvarado C, de Tourreil S, Frankel D, Schipper HM, Pinsky L.",Hum Mol Genet. 1998 Mar;7(3):379-84.,4/18/1998,1998
770,9554754,A new missense substitution at a mutational hot spot of the androgen receptor in siblings with complete androgen insensitivity syndrome.,"Dörk T, Schnieders F, Jakubiczka S, Wieacker P, Schroeder-Kurth T, Schmidtke J.",Hum Mutat. 1998;11(4):337-9.,4/29/1998,1998
773,9533962,Expression of androgen receptor mRNA during mouse embryogenesis.,"Crocoll A, Zhu CC, Cato AC, Blum M.",Mech Dev. 1998 Mar;72(1-2):175-8.,5/12/1998,1998
776,9535906,Caspase cleavage of gene products associated with triplet expansion disorders generates truncated fragments containing the polyglutamine tract.,"Wellington CL, Ellerby LM, Hackam AS, Margolis RL, Trifiro MA, Singaraja R, McCutcheon K, Salvesen GS, Propp SS, Bromm M, Rowland KJ, Zhang T, Rasper D, Roy S, Thornberry N, Pinsky L, Kakizuka A, Ross CA, Nicholson DW, Bredesen DE, Hayden MR.",J Biol Chem. 1998 Apr 10;273(15):9158-67.,5/16/1998,1998
779,9499423,"Cleavage, aggregation and toxicity of the expanded androgen receptor in spinal and bulbar muscular atrophy.","Merry DE, Kobayashi Y, Bailey CK, Taye AA, Fischbeck KH.",Hum Mol Genet. 1998 Apr;7(4):693-701.,5/16/1998,1998
782,9610061,X-linked recessive bulbospinal neuronopathy: clinical and molecular studies in a Taiwanese family.,"Huang CC, Chen RS, Chu NS, Cheng CC, Pang CY, Wei YH.",J Formos Med Assoc. 1998 May;97(5):354-9.,6/4/1998,1998
785,9580659,Androgen receptor YAC transgenic mice carrying CAG 45 alleles show trinucleotide repeat instability.,"La Spada AR, Peterson KR, Meadows SA, McClain ME, Jeng G, Chmelar RS, Haugen HA, Chen K, Singer MJ, Moore D, Trask BJ, Fischbeck KH, Clegg CH, McKnight GS.",Hum Mol Genet. 1998 Jun;7(6):959-67.,6/13/1998,1998
788,9642623,Androgen insensitivity syndrome in the era of molecular genetics and the Internet: a point of view.,"Warne GL, Zajac JD, MacLean HE.",J Pediatr Endocrinol Metab. 1998 Jan-Feb;11(1):3-9. Review.,6/27/1998,1998
791,9642748,[X-chromosomal bulbospinal muscular atrophy (Kennedy syndrome)].,"Berkhoff M, Sturzenegger M, Spiegel R, Rösler KM, Hess CW.",Schweiz Med Wochenschr. 1998 May 23;128(21):817-23. Review. German.,6/27/1998,1998
794,9650764,Discordant repeat size and phenotype in Kennedy syndrome.,"Morrison PJ, Mirakhur M, Patterson VH.",Clin Genet. 1998 Apr;53(4):276-7.,7/3/1998,1998
797,9674812,Kennedy's disease: unusual molecular pathologic and clinical features.,"Shaw PJ, Thagesen H, Tomkins J, Slade JY, Usher P, Jackson A, Curtis A, Bushby K, Ince PG.",Neurology. 1998 Jul;51(1):252-5.,7/23/1998,1998
800,9708548,Nuclear inclusions of the androgen receptor protein in spinal and bulbar muscular atrophy.,"Li M, Miwa S, Kobayashi Y, Merry DE, Yamamoto M, Tanaka F, Doyu M, Hashizume Y, Fischbeck KH, Sobue G.",Ann Neurol. 1998 Aug;44(2):249-54.,8/26/1998,1998
803,9711126,[Real time sonographic imaging of fasciculation].,"Kohno S, Kawai M.",Rinsho Shinkeigaku. 1998 Mar;38(3):259-62. Japanese.,8/26/1998,1998
806,9724012,High prevalence of Kennedy's disease in Western Finland -- is the syndrome underdiagnosed?,"Udd B, Juvonen V, Hakamies L, Nieminen A, Wallgren-Pettersson C, Cederquist K, Savontaus ML.",Acta Neurol Scand. 1998 Aug;98(2):128-33.,9/2/1998,1998
809,9732460,Evolution of the primate androgen receptor: a structural basis for disease.,"Choong CS, Kemppainen JA, Wilson EM.",J Mol Evol. 1998 Sep;47(3):334-42.,9/11/1998,1998
813,9736019,Nonneural nuclear inclusions of androgen receptor protein in spinal and bulbar muscular atrophy.,"Li M, Nakagomi Y, Kobayashi Y, Merry DE, Tanaka F, Doyu M, Mitsuma T, Hashizume Y, Fischbeck KH, Sobue G.",Am J Pathol. 1998 Sep;153(3):695-701.,9/15/1998,1998
816,9757416,"[X-chromosomal recessive spinobulbar muscular atrophy (Kennedy type). Description of a family, clinical aspects, molecular genetics, differential diagnosis and therapy].","Kuhlenbäumer G, Bocchicchio M, Kress W, Young P, Oberwittler C, Stögbauer F.",Nervenarzt. 1998 Aug;69(8):660-5. Review. German.,10/3/1998,1998
819,9761394,Spinal and bulbar muscular atrophy (SBMA): somatic stability of an expanded CAG repeat in fetal tissues.,"Jedele KB, Wahl D, Chahrokh-Zadeh S, Wirtz A, Murken J, Holinski-Feder E.",Clin Genet. 1998 Aug;54(2):148-51.,10/7/1998,1998
822,9768008,[Hereditary neurological diseases caused by amplification of triplet repetitions].,"Warter JM, Tranchant C.",Presse Med. 1998 Feb 28;27(8):376-81. Review. French.,10/13/1998,1998
825,9813160,Caspase-3 cleaves the expanded androgen receptor protein of spinal and bulbar muscular atrophy in a polyglutamine repeat length-dependent manner.,"Kobayashi Y, Miwa S, Merry DE, Kume A, Mei L, Doyu M, Sobue G.",Biochem Biophys Res Commun. 1998 Nov 9;252(1):145-50.,11/14/1998,1998
828,9818876,Larger CAG expansions in skeletal muscle compared with lymphocytes in Kennedy disease but not in Huntington disease.,"Ansved T, Lundin A, Anvret M.",Neurology. 1998 Nov;51(5):1442-4.,11/18/1998,1998
831,9829547,Androgen receptor transactivation domain and control of spermatogenesis.,"Yong EL, Ghadessy F, Wang Q, Mifsud A, Ng SC.",Rev Reprod. 1998 Sep;3(3):141-4. Review.,11/26/1998,1998
834,9836074,Simple nonisotopic assays for detection of (CAG)n repeats expansions associated with seven neurodegenerative disorders.,"Vuillaume I, Schraen S, Rousseaux J, Sablonnière B.",Diagn Mol Pathol. 1998 Jun;7(3):174-9.,12/4/1998,1998
837,9850762,[X-linked recessive bulbospinal muscular atrophy (Kennedy's disease). A family study].,"Kaimen-Maciel DR, Medeiros M, Clímaco V, Kelian GR, da Silva LS, de Souza MM, Raskin S.",Arq Neuropsiquiatr. 1998 Sep;56(3B):639-45. Portuguese.,12/16/1998,1998
840,9863360,[Importance of the number of trinucleotide repeat expansions in the clinical manifestations of Huntington's chorea].,"Vojvodić N, Culjković B, Romac S, Stojković O, Sternić N, Sokić D, Kostić VS.",Srp Arh Celok Lek. 1998 Mar-Apr;126(3-4):77-82. Serbian.,12/24/1998,1998
843,9886069,Kennedy's disease: caspase cleavage of the androgen receptor is a crucial event in cytotoxicity.,"Ellerby LM, Hackam AS, Propp SS, Ellerby HM, Rabizadeh S, Cashman NR, Trifiro MA, Pinsky L, Wellington CL, Salvesen GS, Hayden MR, Bredesen DE.",J Neurochem. 1999 Jan;72(1):185-95.,1/14/1999,1999
846,9949204,Single sperm analysis of the CAG repeats in the gene for dentatorubral-pallidoluysian atrophy (DRPLA): the instability of the CAG repeats in the DRPLA gene is prominent among the CAG repeat diseases.,"Takiyama Y, Sakoe K, Amaike M, Soutome M, Ogawa T, Nakano I, Nishizawa M.",Hum Mol Genet. 1999 Mar;8(3):453-7.,2/9/1999,1999
849,10067364,[Genomic instability and neurodegenerative disease].,"Miki T, Yamagata H.",Rinsho Byori. 1999 Jan;47(1):37-45. Japanese.,3/6/1999,1999
852,10079022,Clinical and molecular aspects of androgen receptor defects.,"Wieacker PF, Knoke I, Jakubiczka S.",Exp Clin Endocrinol Diabetes. 1998;106(6):446-53. Review.,3/17/1999,1999
855,10086890,Assessment of upper and lower motor neurons in Kennedy's disease: implications for corticomotoneuronal PSTH studies.,"Weber M, Eisen A.",Muscle Nerve. 1999 Mar;22(3):299-306.,3/23/1999,1999
858,10089735,[Growing genes cause neurological diseases].,"Johansson J, Holmgren G, Forsgren L, Holmberg M.",Lakartidningen. 1999 Feb 24;96(8):897-900. Review. Swedish.,3/25/1999,1999
861,10196362,"Polyglutamine-expanded androgen receptors form aggregates that sequester heat shock proteins, proteasome components and SRC-1, and are suppressed by the HDJ-2 chaperone.","Stenoien DL, Cummings CJ, Adams HP, Mancini MG, Patel K, DeMartino GN, Marcelli M, Weigel NL, Mancini MA.",Hum Mol Genet. 1999 May;8(5):731-41.,4/10/1999,1999
864,10222780,[Somatic mosaicism of expanded CAG trinucleotide repeat in spinal and bulbar muscular atrophy (SBMA)].,"Tanaka F, Ito Y, Sobue G.",Nihon Rinsho. 1999 Apr;57(4):862-8. Review. Japanese.,5/1/1999,1999
867,10222781,[Transcriptional regulation and subcellular localization of mutant androgen receptor in spinal and bulbar muscular atrophy].,"Miwa S, Li M, Sobue G.",Nihon Rinsho. 1999 Apr;57(4):869-73. Review. Japanese.,5/1/1999,1999
870,10222782,[In vitro aggregation and cellular toxicity of mutant androgen receptor protein in spinal and bulbar muscular atrophy].,"Kobayashi Y, Li M, Sobue G.",Nihon Rinsho. 1999 Apr;57(4):874-9. Japanese.,5/1/1999,1999
873,10371082,Neurodegeneration in Xeroderma Pigmentosum: a trinucleotide repeat mutation analysis.,Grewal RP.,J Neurol Sci. 1999 Mar 1;163(2):183-6.,6/17/1999,1999
876,10385801,[X-linked recessive bulbospinal neuronopathy--Kennedy's syndrome].,"Andersen KV, Michler RP, Nilssen O, Tranebjaerg L, Aasly J.",Tidsskr Nor Laegeforen. 1999 Apr 30;119(11):1591-4. Norwegian.,7/1/1999,1999
879,10398229,CAG repeat contraction in the androgen receptor gene in three brothers with mental retardation.,"Kooy RF, Reyniers E, Storm K, Vits L, van Velzen D, de Ruiter PE, Brinkmann AO, de Paepe A, Willems PJ.",Am J Med Genet. 1999 Jul 30;85(3):209-13.,7/9/1999,1999
882,10398204,Dissociated small hand muscle involvement in amyotrophic lateral sclerosis detected by motor unit number estimates.,"Kuwabara S, Mizobuchi K, Ogawara K, Hattori T.",Muscle Nerve. 1999 Jul;22(7):870-3.,7/9/1999,1999
885,10400640,"The linkage of Kennedy's neuron disease to ARA24, the first identified androgen receptor polyglutamine region-associated coactivator.","Hsiao PW, Lin DL, Nakao R, Chang C.",J Biol Chem. 1999 Jul 16;274(29):20229-34.,7/10/1999,1999
888,10411070,CAG repeats in the androgen receptor: a case of spinal and bulbar muscular atrophy associated with prostate cancer.,"Yasui T, Akita H, Itoh Y, Tozawa K, Ueda K, Kohri K.",J Urol. 1999 Aug;162(2):495. No abstract available.,7/20/1999,1999
891,10415138,Cerebellar allografts survive and transiently alleviate ataxia in a transgenic model of spinocerebellar ataxia type-1.,"Kaemmerer WF, Low WC.",Exp Neurol. 1999 Aug;158(2):301-11.,7/23/1999,1999
894,10419008,Molecular defects of the androgen receptor.,McPhaul MJ.,J Steroid Biochem Mol Biol. 1999 Apr-Jun;69(1-6):315-22. Review.,7/27/1999,1999
897,10434677,"[Spinal and bulbar muscular atrophy (SBMA, Kennedy-Alter-Sung disease)].","Tanaka F, Sobue G.",Ryoikibetsu Shokogun Shirizu. 1999;(27 Pt 2):375-8. Review. Japanese.  No abstract available.,8/6/1999,1999
901,10434308,Androgen receptor mutation in Kennedy's disease.,"Fischbeck KH, Lieberman A, Bailey CK, Abel A, Merry DE.",Philos Trans R Soc Lond B Biol Sci. 1999 Jun 29;354(1386):1075-8. Review.,8/6/1999,1999
904,10447463,Expression of GDNF and GDNFR-alpha mRNAs in muscles of patients with motor neuron diseases.,"Yamamoto M, Mitsuma N, Inukai A, Ito Y, Li M, Mitsuma T, Sobue G.",Neurochem Res. 1999 Jun;24(6):785-90.,8/14/1999,1999
908,10486315,Tissue-specific somatic mosaicism in spinal and bulbar muscular atrophy is dependent on CAG-repeat length and androgen receptor--gene expression level.,"Tanaka F, Reeves MF, Ito Y, Matsumoto M, Li M, Miwa S, Inukai A, Yamamoto M, Doyu M, Yoshida M, Hashizume Y, Terao S, Mitsuma T, Sobue G.",Am J Hum Genet. 1999 Oct;65(4):966-73.,9/16/1999,1999
911,10495104,Molecular mechanisms regulating motor neuron development and degeneration.,"Kilpatrick TJ, Soilu-Hänninen M.",Mol Neurobiol. 1999 Jun;19(3):205-28. Review.,9/24/1999,1999
914,10504853,[Dynamic mutations in hereditary neurodegenerative disorders].,Nilssen O.,Tidsskr Nor Laegeforen. 1999 Aug 30;119(20):3021-7. Review. Norwegian.,10/3/1999,1999
917,10510685,Random X chromosome methylation patterns in the carriers with clinical phenotypic expressions of X-linked recessive bulbospinal neuronopathy.,"Chen RS, Huang CC, Chu NS, Cheng CC, Wei YH.",Acta Neurol Scand. 1999 Oct;100(4):249-53.,10/8/1999,1999
920,10546074,Somatosensory evoked potentials in X-linked recessive bulbospinal neuronopathy: a case demonstration.,"Anannontsak A, Massakulpan P, Aksaranugraha S, Phanthumchinda K.",Electromyogr Clin Neurophysiol. 1999 Oct-Dec;39(7):393-6.,11/5/1999,1999
923,10564878,Trinucleotide repeat polymorphism at five disease loci in mixed Hungarian population.,"Gyürüs P, Molnár J, Melegh B, Tóth G, Morava E, Kosztolányi G, Méhes K.",Am J Med Genet. 1999 Nov 26;87(3):245-50.,11/24/1999,1999
926,10567082,Distinguishing clinical and electrodiagnostic features of X-linked bulbospinal neuronopathy.,"Meriggioli MN, Rowin J, Sanders DB.",Muscle Nerve. 1999 Dec;22(12):1693-7.,11/24/1999,1999
929,10560634,Diagnostic challenges in ALS.,Belsh JM.,Neurology. 1999;53(8 Suppl 5):S26-30; discussion S35-6. Review.,11/24/1999,1999
932,10587588,Motoneuronal cell death is not correlated with aggregate formation of androgen receptors containing an elongated polyglutamine tract.,"Simeoni S, Mancini MA, Stenoien DL, Marcelli M, Weigel NL, Zanisi M, Martini L, Poletti A.",Hum Mol Genet. 2000 Jan 1;9(1):133-44.,12/10/1999,1999
935,10593301,Proton magnetic resonance spectroscopy in Kennedy syndrome.,"Karitzky J, Block W, Mellies JK, Träber F, Sperfeld A, Schild HH, Haller P, Ludolph AC.",Arch Neurol. 1999 Dec;56(12):1465-71.,12/11/1999,1999
938,10598582,A C619Y mutation in the human androgen receptor causes inactivation and mislocalization of the receptor with concomitant sequestration of SRC-1 (steroid receptor coactivator 1),"Nazareth LV, Stenoien DL, Bingman WE 3rd, James AJ, Wu C, Zhang Y, Edwards DP, Mancini M, Marcelli M, Lamb DJ, Weigel NL.",Mol Endocrinol. 1999 Dec;13(12):2065-75. Erratum in: Mol Endocrinol 2000 Apr;14(4):544.,12/22/1999,1999
941,10607837,Inhibition of p160-mediated coactivation with increasing androgen receptor polyglutamine length.,"Irvine RA, Ma H, Yu MC, Ross RK, Stallcup MR, Coetzee GA.",Hum Mol Genet. 2000 Jan 22;9(2):267-74.,12/23/1999,1999
944,10634456,Amyotrophic lateral sclerosis mimic syndromes: a population-based study.,"Traynor BJ, Codd MB, Corr B, Forde C, Frost E, Hardiman O.",Arch Neurol. 2000 Jan;57(1):109-13.,1/14/2000,2000
948,10639135,Regulation of expanded polyglutamine protein aggregation and nuclear localization by the glucocorticoid receptor.,"Diamond MI, Robinson MR, Yamamoto KR.",Proc Natl Acad Sci U S A. 2000 Jan 18;97(2):657-61.,1/19/2000,2000
951,10639619,Sensory involvement in spinal-bulbar muscular atrophy (Kennedy's disease).,"Antonini G, Gragnani F, Romaniello A, Pennisi EM, Morino S, Ceschin V, Santoro L, Cruccu G.",Muscle Nerve. 2000 Feb;23(2):252-8.,1/20/2000,2000
954,10643885,Polyglutamine repeat length influences human androgen receptor/c-Jun mediated transcription.,"Grierson AJ, Mootoosamy RC, Miller CC.",Neurosci Lett. 1999 Dec 17;277(1):9-12.,1/22/2000,2000
957,10651029,"Detection of an Amadori product, 1-hexitol-lysine, in the anterior horn of the amyotrophic lateral sclerosis and spinobulbar muscular atrophy spinal cord: evidence for early involvement of glycation in motoneuron diseases.","Kikuchi S, Ogata A, Shinpo K, Moriwaka F, Fujii J, Taniguchi N, Tashiro K.",Acta Neuropathol. 2000 Jan;99(1):63-6.,1/29/2000,2000
960,10689936,[A family with probable autosomal dominant bulbospinal muscular atrophy with gynecomastia].,"Matsuura E, Hokezu Y, Nakagawa M, Arimura H, Nagamatsu K.",Rinsho Shinkeigaku. 1999 Nov;39(11):1135-7. Japanese.,2/26/2000,2000
963,10694266,The size of the CAG repeat in exon 1 of the androgen receptor gene shows no significant relationship to impaired spermatogenesis in an infertile Caucasoid sample of German origin.,"Dadze S, Wieland C, Jakubiczka S, Funke K, Schröder E, Royer-Pokora B, Willers R, Wieacker PF.",Mol Hum Reprod. 2000 Mar;6(3):207-14.,2/29/2000,2000
966,10711573,Molecular basis of androgen receptor diseases.,"Yong EL, Lim J, Qi W, Ong V, Mifsud A.",Ann Med. 2000 Feb;32(1):15-22.,3/11/2000,2000
969,10714306,[Kennedy disease. A report of two cases].,"Calzada-Sierra DJ, Mustelier-Bécquer R, Gómez-Fernández L, Minou-Báez M.",Rev Neurol. 1999 Feb 1-15;28(3):340-1. Spanish.  No abstract available.,3/14/2000,2000
972,10716663,Genetic disorders of motor neurons.,"Cole N, Siddique T.",Semin Neurol. 1999;19(4):407-18. Review.,3/15/2000,2000
976,10717003,"Effects of heat shock, heat shock protein 40 (HDJ-2), and proteasome inhibition on protein aggregation in cellular models of Huntington's disease.","Wyttenbach A, Carmichael J, Swartz J, Furlong RA, Narain Y, Rankin J, Rubinsztein DC.",Proc Natl Acad Sci U S A. 2000 Mar 14;97(6):2898-903.,3/16/2000,2000
979,10722721,Chaperones Hsp70 and Hsp40 suppress aggregate formation and apoptosis in cultured neuronal cells expressing truncated androgen receptor protein with expanded polyglutamine tract.,"Kobayashi Y, Kume A, Li M, Doyu M, Hata M, Ohtsuka K, Sobue G.",J Biol Chem. 2000 Mar 24;275(12):8772-8.,3/18/2000,2000
982,10724329,Increased T-type Ca2+ channel activity as a determinant of cellular toxicity in neuronal cell lines expressing polyglutamine-expanded human androgen receptors.,"Sculptoreanu A, Abramovici H, Abdullah AA, Bibikova A, Panet-Raymond V, Frankel D, Schipper HM, Pinsky L, Trifiro MA.",Mol Cell Biochem. 2000 Jan;203(1-2):23-31.,3/21/2000,2000
985,10732798,The mutation properties of spinal and bulbar muscular atrophy disease alleles.,"Grewal RP, Leeflang EP, Zhang L, Arnheim N.",Neurogenetics. 1998 Aug;1(4):249-52.,3/25/2000,2000
989,10769019,Cytoplasmic localization and the choice of ligand determine aggregate formation by androgen receptor with amplified polyglutamine stretch.,"Becker M, Martin E, Schneikert J, Krug HF, Cato AC.",J Cell Biol. 2000 Apr 17;149(2):255-62.,4/18/2000,2000
992,10787043,Pathology of Madras type of motor neuron disease (MMND)--a histological and immunohistochemical study.,"Shankar SK, Gourie-Devi M, Shankar L, Yasha TC, Santosh V, Das S.",Acta Neuropathol. 2000 Apr;99(4):428-34.,4/29/2000,2000
995,10838245,Nuclear proteins and cell death in inherited neuromuscular disease.,Morris GE.,Neuromuscul Disord. 2000 Jun;10(4-5):217-27. Review.,6/6/2000,2000
998,10842259,Triplet repeat expansion in neuromuscular disease.,"Lieberman AP, Fischbeck KH.",Muscle Nerve. 2000 Jun;23(6):843-50. Review.,6/8/2000,2000
1001,10845064,Glutamine repeats and neurodegeneration.,"Zoghbi HY, Orr HT.",Annu Rev Neurosci. 2000;23:217-47. Review.,6/9/2000,2000
1004,10892286,[Receptor diseases in the field of neurology].,"Takamori M, Maruta T.",Rinsho Byori. 2000 May;48(5):385-95. Review. Japanese.,7/13/2000,2000
1007,10899444,Phenotypic manifestations associated with CAG-repeat expansion in the androgen receptor gene in male patients and heterozygous females: a clinical and molecular study of 30 families.,"Mariotti C, Castellotti B, Pareyson D, Testa D, Eoli M, Antozzi C, Silani V, Marconi R, Tezzon F, Siciliano G, Marchini C, Gellera C, Donato SD.",Neuromuscul Disord. 2000 Aug;10(6):391-7.,7/19/2000,2000
1010,10928291,Cell death in polyglutamine diseases.,"Evert BO, Wüllner U, Klockgether T.",Cell Tissue Res. 2000 Jul;301(1):189-204. Review.,8/6/2000,2000
1013,10932612,[Comparison of the number of CAG repeats in the gene for androgen receptors in a control Yugoslav population and in patients with schizophrenia].,"Zamurović N, Culjković B, Stojković O, Zamurović B, Romac S.",Srp Arh Celok Lek. 2000 Mar-Apr;128(3-4):71-4. Serbian.,8/10/2000,2000
